Time,Action,Status
11:56:07,connexion to MQTT Broker,OK
11:56:07,retrieve all plugs from database,OK
11:56:07,Current switch : 192.168.1.154,running ...
11:56:07,connexion to MQTT switch : 192.168.1.154,OK
11:56:07,Current switch : Prise1,running ...
11:56:07,"Current switch : 192.168.1.128,0",running ...
11:56:09,connexion to shelly switch : 192.168.1.128,OK
11:56:09,data storage for shelly switch,OK
11:56:09,"Current switch : 192.168.1.128,1",running ...
11:56:09,connexion to shelly switch : 192.168.1.128,OK
11:56:09,data storage for shelly switch,OK
11:56:09,Current switch : 192.168.1.111,running ...
11:56:09,connexion to MQTT switch : 192.168.1.111,OK
11:56:09,Current switch : eMylo1,running ...
11:56:16,connexion to Meross cloud,running ...
11:56:16,adding data for Prise1 in the database,ok
11:56:16,data for Prise1 successfully added into database,ok
11:56:16,End of execution : 9.197805643081665s,OK
