Time,Action,Status
15:00:09,connexion to MQTT Broker,OK
15:00:09,retrieve all plugs from database,OK
15:00:09,Current switch : 192.168.1.154,running ...
15:00:09,connexion to MQTT switch : 192.168.1.154,OK
15:00:09,Current switch : Prise1,running ...
15:00:09,"Current switch : 192.168.1.128,0",running ...
15:00:25,"connexion to switch : 192.168.1.128,0",error
15:00:25,"Current switch : 192.168.1.128,1",running ...
15:00:28,"connexion to switch : 192.168.1.128,1",error
15:00:28,Current switch : 192.168.1.102,running ...
15:00:28,connexion to MQTT switch : 192.168.1.102,OK
15:00:28,Current switch : eMylo1,running ...
15:00:36,connexion to Meross cloud,running ...
15:00:36,adding data for Prise1 in the database,ok
15:00:36,data for Prise1 successfully added into database,ok
15:00:36,End of execution : 27.389835357666016s,OK
