Time,Action,Status
12:30:52,connexion to MQTT Broker,OK
12:30:52,retrieve all plugs from database,OK
12:30:52,Current switch : 192.168.1.154,running ...
12:30:52,connexion to MQTT switch : 192.168.1.154,OK
12:30:52,Current switch : Prise1,running ...
12:30:52,"Current switch : 192.168.1.128,0",running ...
12:30:54,connexion to shelly switch : 192.168.1.128,OK
12:30:54,data storage for shelly switch,OK
12:30:54,"Current switch : 192.168.1.128,1",running ...
12:30:57,connexion to shelly switch : 192.168.1.128,OK
12:30:57,data storage for shelly switch,OK
12:30:57,Current switch : 192.168.1.111,running ...
12:30:57,connexion to MQTT switch : 192.168.1.111,OK
12:30:57,Current switch : eMylo1,running ...
12:31:29,connexion to Meross cloud,running ...
12:31:29,adding data for Prise1 in the database,ok
12:31:29,data for Prise1 successfully added into database,ok
12:31:29,End of execution : 36.49582266807556s,OK
