Time,Action,Status
10:45:23,connexion to MQTT Broker,OK
10:45:23,retrieve all plugs from database,OK
10:45:23,Current switch : 192.168.1.154,running ...
10:45:23,connexion to MQTT switch : 192.168.1.154,OK
10:45:23,Current switch : Prise1,running ...
10:45:23,"Current switch : 192.168.1.128,0",running ...
10:45:24,connexion to shelly switch : 192.168.1.128,OK
10:45:24,data storage for shelly switch,OK
10:45:24,"Current switch : 192.168.1.128,1",running ...
10:45:24,connexion to shelly switch : 192.168.1.128,OK
10:45:24,data storage for shelly switch,OK
10:45:24,Current switch : 192.168.1.111,running ...
10:45:24,connexion to MQTT switch : 192.168.1.111,OK
10:45:24,Current switch : eMylo1,running ...
10:45:39,connexion to Meross cloud,running ...
10:45:39,adding data for Prise1 in the database,ok
10:45:39,data for Prise1 successfully added into database,ok
10:45:39,End of execution : 16.61160945892334s,OK
