Time,Action,Status
13:30:19,connexion to MQTT Broker,OK
13:30:19,retrieve all plugs from database,OK
13:30:19,Current switch : 192.168.1.154,running ...
13:30:19,connexion to MQTT switch : 192.168.1.154,OK
13:30:19,Current switch : Prise1,running ...
13:30:19,"Current switch : 192.168.1.128,0",running ...
13:30:20,connexion to shelly switch : 192.168.1.128,OK
13:30:20,data storage for shelly switch,OK
13:30:20,"Current switch : 192.168.1.128,1",running ...
13:30:21,connexion to shelly switch : 192.168.1.128,OK
13:30:21,data storage for shelly switch,OK
13:30:21,Current switch : 192.168.1.111,running ...
13:30:21,connexion to MQTT switch : 192.168.1.111,OK
13:30:21,Current switch : eMylo1,running ...
13:30:32,connexion to Meross cloud,running ...
13:30:32,adding data for Prise1 in the database,ok
13:30:32,data for Prise1 successfully added into database,ok
13:30:32,End of execution : 12.198115587234497s,OK
