Time,Action,Status
10:28:04,connexion to MQTT Broker,OK
10:28:04,retrieve all plugs from database,OK
10:28:04,Current switch : 192.168.1.154,running ...
10:28:04,connexion to MQTT switch : 192.168.1.154,OK
10:28:04,Current switch : Prise1,running ...
10:28:04,"Current switch : 192.168.1.128,0",running ...
10:28:07,"connexion to switch : 192.168.1.128,0",error
10:28:07,"Current switch : 192.168.1.128,1",running ...
10:28:10,"connexion to switch : 192.168.1.128,1",error
10:28:10,Current switch : 192.168.1.102,running ...
10:28:10,connexion to MQTT switch : 192.168.1.102,OK
10:28:10,Current switch : eMylo1,running ...
10:28:15,connexion to Meross cloud,running ...
10:28:15,adding data for Prise1 in the database,ok
10:28:15,data for Prise1 successfully added into database,ok
10:28:15,End of execution : 10.569169759750366s,OK
