Time,Action,Status
11:00:08,connexion to MQTT Broker,OK
11:00:08,retrieve all plugs from database,OK
11:00:08,Current switch : 192.168.1.154,running ...
11:00:08,connexion to MQTT switch : 192.168.1.154,OK
11:00:08,Current switch : Prise1,running ...
11:00:08,"Current switch : 192.168.1.128,0",running ...
11:00:08,connexion to shelly switch : 192.168.1.128,OK
11:00:08,data storage for shelly switch,OK
11:00:08,"Current switch : 192.168.1.128,1",running ...
11:00:08,connexion to shelly switch : 192.168.1.128,OK
11:00:08,data storage for shelly switch,OK
11:00:08,Current switch : 192.168.1.111,running ...
11:00:08,connexion to MQTT switch : 192.168.1.111,OK
11:00:08,Current switch : eMylo1,running ...
11:00:13,connexion to Meross cloud,running ...
11:00:13,adding data for Prise1 in the database,ok
11:00:13,data for Prise1 successfully added into database,ok
11:00:13,End of execution : 5.333369970321655s,OK
