Time,Action,Status
14:15:04,connexion to MQTT Broker,OK
14:15:04,retrieve all plugs from database,OK
14:15:04,Current switch : 192.168.1.154,running ...
14:15:04,connexion to MQTT switch : 192.168.1.154,OK
14:15:04,Current switch : Prise1,running ...
14:15:04,"Current switch : 192.168.1.128,0",running ...
14:15:05,connexion to shelly switch : 192.168.1.128,OK
14:15:05,data storage for shelly switch,OK
14:15:05,"Current switch : 192.168.1.128,1",running ...
14:15:05,connexion to shelly switch : 192.168.1.128,OK
14:15:05,data storage for shelly switch,OK
14:15:05,Current switch : 192.168.1.111,running ...
14:15:05,connexion to MQTT switch : 192.168.1.111,OK
14:15:05,Current switch : eMylo1,running ...
14:15:09,connexion to Meross cloud,running ...
14:15:09,adding data for Prise1 in the database,ok
14:15:09,data for Prise1 successfully added into database,ok
14:15:09,End of execution : 4.842561960220337s,OK
