Time,Action,Status
13:00:11,connexion to MQTT Broker,OK
13:00:11,retrieve all plugs from database,OK
13:00:11,Current switch : 192.168.1.154,running ...
13:00:11,connexion to MQTT switch : 192.168.1.154,OK
13:00:11,Current switch : Prise1,running ...
13:00:11,"Current switch : 192.168.1.128,0",running ...
13:00:14,"connexion to switch : 192.168.1.128,0",error
13:00:14,"Current switch : 192.168.1.128,1",running ...
13:00:17,"connexion to switch : 192.168.1.128,1",error
13:00:17,Current switch : 192.168.1.111,running ...
13:00:17,connexion to MQTT switch : 192.168.1.111,OK
13:00:17,Current switch : eMylo1,running ...
13:00:27,connexion to Meross cloud,error
13:00:27,End of execution : 16.17401146888733s,OK
