Time,Action,Status
10:34:28,connexion to MQTT Broker,OK
10:34:28,retrieve all plugs from database,OK
10:34:28,Current switch : 192.168.1.154,running ...
10:34:28,connexion to MQTT switch : 192.168.1.154,OK
10:34:28,Current switch : Prise1,running ...
10:34:28,"Current switch : 192.168.1.128,0",running ...
10:34:28,connexion to shelly switch : 192.168.1.128,OK
10:34:28,data storage for shelly switch,OK
10:34:28,"Current switch : 192.168.1.128,1",running ...
10:34:28,connexion to shelly switch : 192.168.1.128,OK
10:34:28,data storage for shelly switch,OK
10:34:28,Current switch : 192.168.1.111,running ...
10:34:28,connexion to MQTT switch : 192.168.1.111,OK
10:34:28,Current switch : eMylo1,running ...
10:34:32,connexion to Meross cloud,running ...
10:34:32,adding data for Prise1 in the database,ok
10:34:32,data for Prise1 successfully added into database,ok
10:34:32,End of execution : 4.564083576202393s,OK
