Time,Action,Status
10:31:44,connexion to MQTT Broker,OK
10:31:44,retrieve all plugs from database,OK
10:31:44,Current switch : 192.168.1.154,running ...
10:31:44,connexion to MQTT switch : 192.168.1.154,OK
10:31:44,Current switch : Prise1,running ...
10:31:44,"Current switch : 192.168.1.128,0",running ...
10:31:46,connexion to shelly switch : 192.168.1.128,OK
10:31:46,data storage for shelly switch,OK
10:31:46,"Current switch : 192.168.1.128,1",running ...
10:31:48,connexion to shelly switch : 192.168.1.128,OK
10:31:48,data storage for shelly switch,OK
10:31:48,Current switch : 192.168.1.102,running ...
10:31:48,connexion to MQTT switch : 192.168.1.102,OK
10:31:48,Current switch : eMylo1,running ...
10:32:00,connexion to Meross cloud,running ...
10:32:00,adding data for Prise1 in the database,ok
10:32:00,data for Prise1 successfully added into database,ok
10:32:00,End of execution : 15.654558181762695s,OK
