Time,Action,Status
14:45:06,connexion to MQTT Broker,OK
14:45:06,retrieve all plugs from database,OK
14:45:06,Current switch : 192.168.1.154,running ...
14:45:06,connexion to MQTT switch : 192.168.1.154,OK
14:45:06,Current switch : Prise1,running ...
14:45:06,"Current switch : 192.168.1.128,0",running ...
14:45:07,connexion to shelly switch : 192.168.1.128,OK
14:45:07,data storage for shelly switch,OK
14:45:07,"Current switch : 192.168.1.128,1",running ...
14:45:07,connexion to shelly switch : 192.168.1.128,OK
14:45:07,data storage for shelly switch,OK
14:45:07,Current switch : 192.168.1.111,running ...
14:45:07,connexion to MQTT switch : 192.168.1.111,OK
14:45:07,Current switch : eMylo1,running ...
14:45:13,connexion to Meross cloud,running ...
14:45:13,adding data for Prise1 in the database,ok
14:45:13,data for Prise1 successfully added into database,ok
14:45:13,End of execution : 6.63914155960083s,OK

