Time,Action,Status
10:29:41,connexion to MQTT Broker,OK
10:29:41,retrieve all plugs from database,OK
10:29:41,Current switch : 192.168.1.154,running ...
10:29:41,connexion to MQTT switch : 192.168.1.154,OK
10:29:41,Current switch : Prise1,running ...
10:29:41,"Current switch : 192.168.1.128,0",running ...
10:29:44,"connexion to switch : 192.168.1.128,0",error
10:29:44,"Current switch : 192.168.1.128,1",running ...
10:29:47,"connexion to switch : 192.168.1.128,1",error
10:29:47,Current switch : 192.168.1.102,running ...
10:29:47,connexion to MQTT switch : 192.168.1.102,OK
10:29:47,Current switch : eMylo1,running ...
10:29:53,connexion to Meross cloud,running ...
10:29:53,adding data for Prise1 in the database,ok
10:29:53,data for Prise1 successfully added into database,ok
10:29:53,End of execution : 12.294803380966187s,OK
