Time,Action,Status
15:30:05,connexion to MQTT Broker,OK
15:30:05,retrieve all plugs from database,OK
15:30:05,Current switch : 192.168.1.154,running ...
15:30:05,connexion to MQTT switch : 192.168.1.154,OK
15:30:05,Current switch : Prise1,running ...
15:30:05,"Current switch : 192.168.1.128,0",running ...
15:30:24,"connexion to switch : 192.168.1.128,0",error
15:30:24,"Current switch : 192.168.1.128,1",running ...
15:30:27,"connexion to switch : 192.168.1.128,1",error
15:30:27,Current switch : 192.168.1.102,running ...
15:30:27,connexion to MQTT switch : 192.168.1.102,OK
15:30:27,Current switch : eMylo1,running ...
15:30:31,connexion to Meross cloud,running ...
15:30:31,adding data for Prise1 in the database,ok
15:30:31,data for Prise1 successfully added into database,ok
15:30:31,End of execution : 26.05520510673523s,OK
