Time,Action,Status
10:54:28,connexion to MQTT Broker,OK
10:54:28,retrieve all plugs from database,OK
10:54:28,Current switch : 192.168.1.154,running ...
10:54:28,connexion to MQTT switch : 192.168.1.154,OK
10:54:28,Current switch : Prise1,running ...
10:54:28,"Current switch : 192.168.1.128,0",running ...
10:54:47,"connexion to switch : 192.168.1.128,0",error
10:54:47,"Current switch : 192.168.1.128,1",running ...
10:54:50,"connexion to switch : 192.168.1.128,1",error
10:54:50,Current switch : 192.168.1.111,running ...
10:54:50,connexion to MQTT switch : 192.168.1.111,OK
10:54:50,Current switch : eMylo1,running ...
10:54:54,connexion to Meross cloud,running ...
10:54:54,adding data for Prise1 in the database,ok
10:54:54,data for Prise1 successfully added into database,ok
10:54:54,End of execution : 25.797712087631226s,OK
