Time,Action,Status
11:30:11,connexion to MQTT Broker,OK
11:30:11,retrieve all plugs from database,OK
11:30:11,Current switch : 192.168.1.154,running ...
11:30:11,connexion to MQTT switch : 192.168.1.154,OK
11:30:11,Current switch : Prise1,running ...
11:30:11,"Current switch : 192.168.1.128,0",running ...
11:30:12,connexion to shelly switch : 192.168.1.128,OK
11:30:12,data storage for shelly switch,OK
11:30:12,"Current switch : 192.168.1.128,1",running ...
11:30:13,connexion to shelly switch : 192.168.1.128,OK
11:30:13,data storage for shelly switch,OK
11:30:13,Current switch : 192.168.1.111,running ...
11:30:13,connexion to MQTT switch : 192.168.1.111,OK
11:30:13,Current switch : eMylo1,running ...
11:30:23,connexion to Meross cloud,running ...
11:30:23,adding data for Prise1 in the database,ok
11:30:23,data for Prise1 successfully added into database,ok
11:30:23,End of execution : 12.27892255783081s,OK

