Time,Action,Status
10:37:33,connexion to MQTT Broker,OK
10:37:33,retrieve all plugs from database,OK
10:37:33,Current switch : 192.168.1.154,running ...
10:37:33,connexion to MQTT switch : 192.168.1.154,OK
10:37:33,Current switch : Prise1,running ...
10:37:33,"Current switch : 192.168.1.128,0",running ...
10:37:33,connexion to shelly switch : 192.168.1.128,OK
10:37:33,data storage for shelly switch,OK
10:37:33,"Current switch : 192.168.1.128,1",running ...
10:37:33,connexion to shelly switch : 192.168.1.128,OK
10:37:33,data storage for shelly switch,OK
10:37:33,Current switch : 192.168.1.111,running ...
10:37:33,connexion to MQTT switch : 192.168.1.111,OK
10:37:33,Current switch : eMylo1,running ...
10:37:47,connexion to Meross cloud,running ...
10:37:47,End of execution : 13.860131025314331s,OK
