Time,Action,Status
10:36:37,connexion to MQTT Broker,OK
10:36:37,retrieve all plugs from database,OK
10:36:37,Current switch : 192.168.1.154,running ...
10:36:37,connexion to MQTT switch : 192.168.1.154,OK
10:36:37,Current switch : Prise1,running ...
10:36:37,"Current switch : 192.168.1.128,0",running ...
10:36:37,connexion to shelly switch : 192.168.1.128,OK
10:36:37,data storage for shelly switch,OK
10:36:37,"Current switch : 192.168.1.128,1",running ...
10:36:37,connexion to shelly switch : 192.168.1.128,OK
10:36:37,data storage for shelly switch,OK
10:36:37,Current switch : 192.168.1.111,running ...
10:36:37,connexion to MQTT switch : 192.168.1.111,OK
10:36:37,Current switch : eMylo1,running ...
10:36:42,connexion to Meross cloud,running ...
10:36:42,adding data for Prise1 in the database,ok
10:36:42,data for Prise1 successfully added into database,ok
10:36:42,End of execution : 4.421608209609985s,OK
