Time,Action,Status
13:45:04,connexion to MQTT Broker,OK
13:45:04,retrieve all plugs from database,OK
13:45:04,Current switch : 192.168.1.154,running ...
13:45:04,connexion to MQTT switch : 192.168.1.154,OK
13:45:04,Current switch : Prise1,running ...
13:45:04,"Current switch : 192.168.1.128,0",running ...
13:45:05,connexion to shelly switch : 192.168.1.128,OK
13:45:05,data storage for shelly switch,OK
13:45:05,"Current switch : 192.168.1.128,1",running ...
13:45:05,connexion to shelly switch : 192.168.1.128,OK
13:45:05,data storage for shelly switch,OK
13:45:05,Current switch : 192.168.1.111,running ...
13:45:05,connexion to MQTT switch : 192.168.1.111,OK
13:45:05,Current switch : eMylo1,running ...
13:45:09,connexion to Meross cloud,running ...
13:45:09,adding data for Prise1 in the database,ok
13:45:09,data for Prise1 successfully added into database,ok
13:45:09,End of execution : 4.644344806671143s,OK
