Time,Action,Status
10:00:06,connexion to MQTT Broker,OK
10:00:06,retrieve all plugs from database,OK
10:00:06,Current switch : 192.168.1.154,running ...
10:00:06,connexion to MQTT switch : 192.168.1.154,OK
10:00:06,Current switch : Prise1,running ...
10:00:06,"Current switch : 192.168.1.128,0",running ...
10:00:09,"connexion to switch : 192.168.1.128,0",error
10:00:09,"Current switch : 192.168.1.128,1",running ...
10:00:12,"connexion to switch : 192.168.1.128,1",error
10:00:12,Current switch : 192.168.1.102,running ...
10:00:12,connexion to MQTT switch : 192.168.1.102,OK
10:00:12,Current switch : eMylo1,running ...
10:00:16,connexion to Meross cloud,running ...
10:00:16,adding data for Prise1 in the database,ok
10:00:16,data for Prise1 successfully added into database,ok
10:00:16,End of execution : 10.272828817367554s,OK
