Time,Action,Status
16:00:08,connexion to MQTT Broker,OK
16:00:08,retrieve all plugs from database,OK
16:00:08,Current switch : 192.168.1.154,running ...
16:00:08,connexion to MQTT switch : 192.168.1.154,OK
16:00:08,Current switch : Prise1,running ...
16:00:08,"Current switch : 192.168.1.128,0",running ...
16:00:10,"connexion to switch : 192.168.1.128,0",error
16:00:10,"Current switch : 192.168.1.128,1",running ...
16:00:13,"connexion to switch : 192.168.1.128,1",error
16:00:13,Current switch : 192.168.1.102,running ...
16:00:13,connexion to MQTT switch : 192.168.1.102,OK
16:00:13,Current switch : eMylo1,running ...
16:00:18,connexion to Meross cloud,running ...
16:00:18,adding data for Prise1 in the database,ok
16:00:18,data for Prise1 successfully added into database,ok
16:00:18,End of execution : 9.70058274269104s,OK
