Time,Action,Status
16:00:06,connexion to MQTT Broker,OK
16:00:06,retrieve all plugs from database,OK
16:00:06,Current switch : 192.168.1.154,running ...
16:00:06,connexion to MQTT switch : 192.168.1.154,OK
16:00:06,Current switch : Prise1,running ...
16:00:06,"Current switch : 192.168.1.128,0",running ...
16:00:06,connexion to shelly switch : 192.168.1.128,OK
16:00:06,data storage for shelly switch,OK
16:00:06,"Current switch : 192.168.1.128,1",running ...
16:00:06,connexion to shelly switch : 192.168.1.128,OK
16:00:06,data storage for shelly switch,OK
16:00:06,Current switch : 192.168.1.111,running ...
16:00:06,connexion to MQTT switch : 192.168.1.111,OK
16:00:06,Current switch : eMylo1,running ...
16:00:14,connexion to Meross cloud,running ...
16:00:14,adding data for Prise1 in the database,ok
16:00:14,data for Prise1 successfully added into database,ok
16:00:14,End of execution : 8.22284984588623s,OK
