Time,Action,Status
11:15:07,connexion to MQTT Broker,OK
11:15:07,retrieve all plugs from database,OK
11:15:07,Current switch : 192.168.1.154,running ...
11:15:07,connexion to MQTT switch : 192.168.1.154,OK
11:15:07,Current switch : Prise1,running ...
11:15:07,"Current switch : 192.168.1.128,0",running ...
11:15:08,connexion to shelly switch : 192.168.1.128,OK
11:15:08,data storage for shelly switch,OK
11:15:08,"Current switch : 192.168.1.128,1",running ...
11:15:09,connexion to shelly switch : 192.168.1.128,OK
11:15:09,data storage for shelly switch,OK
11:15:09,Current switch : 192.168.1.102,running ...
11:15:09,connexion to MQTT switch : 192.168.1.102,OK
11:15:09,Current switch : eMylo1,running ...
11:15:15,connexion to Meross cloud,running ...
11:15:15,adding data for Prise1 in the database,ok
11:15:15,data for Prise1 successfully added into database,ok
11:15:15,End of execution : 7.854046583175659s,OK
