Time,Action,Status
11:45:35,connexion to MQTT Broker,OK
11:45:35,retrieve all plugs from database,OK
11:45:35,Current switch : 192.168.1.154,running ...
11:45:35,connexion to MQTT switch : 192.168.1.154,OK
11:45:35,Current switch : Prise1,running ...
11:45:35,"Current switch : 192.168.1.128,0",running ...
11:45:54,"connexion to switch : 192.168.1.128,0",error
11:45:54,"Current switch : 192.168.1.128,1",running ...
11:45:57,"connexion to switch : 192.168.1.128,1",error
11:45:57,Current switch : 192.168.1.111,running ...
11:45:57,connexion to MQTT switch : 192.168.1.111,OK
11:45:57,Current switch : eMylo1,running ...
11:46:07,connexion to Meross cloud,error
11:46:07,End of execution : 31.6453640460968s,OK

