Time,Action,Status
16:15:05,connexion to MQTT Broker,OK
16:15:05,retrieve all plugs from database,OK
16:15:05,Current switch : 192.168.1.154,running ...
16:15:05,connexion to MQTT switch : 192.168.1.154,OK
16:15:05,Current switch : Prise1,running ...
16:15:05,"Current switch : 192.168.1.128,0",running ...
16:15:08,"connexion to switch : 192.168.1.128,0",error
16:15:08,"Current switch : 192.168.1.128,1",running ...
16:15:11,"connexion to switch : 192.168.1.128,1",error
16:15:11,Current switch : 192.168.1.102,running ...
16:15:11,connexion to MQTT switch : 192.168.1.102,OK
16:15:11,Current switch : eMylo1,running ...
16:15:16,connexion to Meross cloud,running ...
16:15:16,adding data for Prise1 in the database,ok
16:15:16,data for Prise1 successfully added into database,ok
16:15:16,End of execution : 10.817950963973999s,OK
