Time,Action,Status
10:15:05,connexion to MQTT Broker,OK
10:15:05,retrieve all plugs from database,OK
10:15:05,Current switch : 192.168.1.154,running ...
10:15:05,connexion to MQTT switch : 192.168.1.154,OK
10:15:05,Current switch : Prise1,running ...
10:15:05,"Current switch : 192.168.1.128,0",running ...
10:15:08,"connexion to switch : 192.168.1.128,0",error
10:15:08,"Current switch : 192.168.1.128,1",running ...
10:15:11,"connexion to switch : 192.168.1.128,1",error
10:15:11,Current switch : 192.168.1.102,running ...
10:15:11,connexion to MQTT switch : 192.168.1.102,OK
10:15:11,Current switch : eMylo1,running ...
10:15:15,connexion to Meross cloud,running ...
10:15:15,adding data for Prise1 in the database,ok
10:15:15,data for Prise1 successfully added into database,ok
10:15:15,End of execution : 10.256733179092407s,OK
