Time,Action,Status
16:00:08,connexion to MQTT Broker,OK
16:00:08,retrieve all plugs from database,OK
16:00:08,Current switch : 192.168.1.154,running ...
16:00:08,connexion to MQTT switch : 192.168.1.154,OK
16:00:08,Current switch : Prise1,running ...
16:00:08,"Current switch : 192.168.1.128,0",running ...
16:00:08,connexion to shelly switch : 192.168.1.128,OK
16:00:08,data storage for shelly switch,OK
16:00:08,"Current switch : 192.168.1.128,1",running ...
16:00:08,connexion to shelly switch : 192.168.1.128,OK
16:00:08,data storage for shelly switch,OK
16:00:08,Current switch : 192.168.1.111,running ...
16:00:08,connexion to MQTT switch : 192.168.1.111,OK
16:00:08,Current switch : eMylo1,running ...
16:00:15,connexion to Meross cloud,running ...
16:00:15,adding data for Prise1 in the database,ok
16:00:15,data for Prise1 successfully added into database,ok
16:00:15,End of execution : 6.49524712562561s,OK
