Time,Action,Status
11:30:17,connexion to MQTT Broker,OK
11:30:17,retrieve all plugs from database,OK
11:30:17,Current switch : 192.168.1.154,running ...
11:30:17,connexion to MQTT switch : 192.168.1.154,OK
11:30:17,Current switch : Prise1,running ...
11:30:17,"Current switch : 192.168.1.128,0",running ...
11:30:21,connexion to shelly switch : 192.168.1.128,OK
11:30:21,data storage for shelly switch,OK
11:30:21,"Current switch : 192.168.1.128,1",running ...
11:30:24,connexion to shelly switch : 192.168.1.128,OK
11:30:24,data storage for shelly switch,OK
11:30:24,Current switch : 192.168.1.111,running ...
11:30:24,connexion to MQTT switch : 192.168.1.111,OK
11:30:24,Current switch : eMylo1,running ...
11:30:45,connexion to Meross cloud,running ...
11:30:45,adding data for Prise1 in the database,ok
11:30:45,data for Prise1 successfully added into database,ok
11:30:45,End of execution : 28.96132516860962s,OK
