Time,Action,Status
15:45:06,connexion to MQTT Broker,OK
15:45:06,retrieve all plugs from database,OK
15:45:06,Current switch : 192.168.1.154,running ...
15:45:06,connexion to MQTT switch : 192.168.1.154,OK
15:45:06,Current switch : Prise1,running ...
15:45:06,"Current switch : 192.168.1.128,0",running ...
15:45:09,"connexion to switch : 192.168.1.128,0",error
15:45:09,"Current switch : 192.168.1.128,1",running ...
15:45:12,"connexion to switch : 192.168.1.128,1",error
15:45:12,Current switch : 192.168.1.102,running ...
15:45:12,connexion to MQTT switch : 192.168.1.102,OK
15:45:12,Current switch : eMylo1,running ...
15:45:16,connexion to Meross cloud,running ...
15:45:16,adding data for Prise1 in the database,ok
15:45:16,data for Prise1 successfully added into database,ok
15:45:16,End of execution : 10.001349449157715s,OK
