Time,Action,Status
10:36:19,connexion to MQTT Broker,OK
10:36:19,retrieve all plugs from database,OK
10:36:19,Current switch : 192.168.1.154,running ...
10:36:19,connexion to MQTT switch : 192.168.1.154,OK
10:36:19,Current switch : Prise1,running ...
10:36:19,"Current switch : 192.168.1.128,0",running ...
10:36:19,connexion to shelly switch : 192.168.1.128,OK
10:36:19,data storage for shelly switch,OK
10:36:19,"Current switch : 192.168.1.128,1",running ...
10:36:19,connexion to shelly switch : 192.168.1.128,OK
10:36:19,data storage for shelly switch,OK
10:36:19,Current switch : 192.168.1.111,running ...
10:36:19,connexion to MQTT switch : 192.168.1.111,OK
10:36:19,Current switch : eMylo1,running ...
10:36:23,connexion to Meross cloud,running ...
10:36:23,adding data for Prise1 in the database,ok
10:36:23,data for Prise1 successfully added into database,ok
10:36:23,End of execution : 4.464666128158569s,OK
