Time,Action,Status
12:30:55,connexion to MQTT Broker,OK
12:30:55,retrieve all plugs from database,OK
12:30:55,Current switch : 192.168.1.154,running ...
12:30:55,connexion to MQTT switch : 192.168.1.154,OK
12:30:55,Current switch : Prise1,running ...
12:30:55,"Current switch : 192.168.1.128,0",running ...
12:31:05,connexion to shelly switch : 192.168.1.128,OK
12:31:05,data storage for shelly switch,OK
12:31:05,"Current switch : 192.168.1.128,1",running ...
12:31:08,connexion to shelly switch : 192.168.1.128,OK
12:31:08,data storage for shelly switch,OK
12:31:08,Current switch : 192.168.1.111,running ...
12:31:08,connexion to MQTT switch : 192.168.1.111,OK
12:31:08,Current switch : eMylo1,running ...
12:31:30,connexion to Meross cloud,running ...
12:31:30,adding data for Prise1 in the database,ok
12:31:30,data for Prise1 successfully added into database,ok
12:31:30,End of execution : 34.96196150779724s,OK
