Time,Action,Status
15:00:12,connexion to MQTT Broker,OK
15:00:12,retrieve all plugs from database,OK
15:00:12,Current switch : 192.168.1.154,running ...
15:00:12,connexion to MQTT switch : 192.168.1.154,OK
15:00:12,Current switch : Prise1,running ...
15:00:12,"Current switch : 192.168.1.128,0",running ...
15:00:22,"connexion to switch : 192.168.1.128,0",error
15:00:22,"Current switch : 192.168.1.128,1",running ...
15:00:25,"connexion to switch : 192.168.1.128,1",error
15:00:25,Current switch : 192.168.1.102,running ...
15:00:25,connexion to MQTT switch : 192.168.1.102,OK
15:00:25,Current switch : eMylo1,running ...
15:00:33,connexion to Meross cloud,running ...
15:00:33,adding data for Prise1 in the database,ok
15:00:33,data for Prise1 successfully added into database,ok
15:00:33,End of execution : 21.719785928726196s,OK
