Time,Action,Status
17:00:38,connexion to MQTT Broker,OK
17:00:38,retrieve all plugs from database,OK
17:00:38,Current switch : 192.168.1.154,running ...
17:00:38,connexion to MQTT switch : 192.168.1.154,OK
17:00:38,Current switch : Prise1,running ...
17:00:38,"Current switch : 192.168.1.128,0",running ...
17:00:38,connexion to shelly switch : 192.168.1.128,OK
17:00:38,data storage for shelly switch,OK
17:00:38,"Current switch : 192.168.1.128,1",running ...
17:00:38,connexion to shelly switch : 192.168.1.128,OK
17:00:38,data storage for shelly switch,OK
17:00:38,Current switch : 192.168.1.111,running ...
17:00:38,connexion to MQTT switch : 192.168.1.111,OK
17:00:38,Current switch : eMylo1,running ...
17:00:45,connexion to Meross cloud,running ...
17:00:45,adding data for Prise1 in the database,ok
17:00:45,data for Prise1 successfully added into database,ok
17:00:45,End of execution : 7.604081153869629s,OK
