Time,Action,Status
15:30:05,connexion to MQTT Broker,OK
15:30:05,retrieve all plugs from database,OK
15:30:05,Current switch : 192.168.1.154,running ...
15:30:05,connexion to MQTT switch : 192.168.1.154,OK
15:30:05,Current switch : Prise1,running ...
15:30:05,"Current switch : 192.168.1.128,0",running ...
15:30:06,connexion to shelly switch : 192.168.1.128,OK
15:30:06,data storage for shelly switch,OK
15:30:06,"Current switch : 192.168.1.128,1",running ...
15:30:06,connexion to shelly switch : 192.168.1.128,OK
15:30:06,data storage for shelly switch,OK
15:30:06,Current switch : 192.168.1.111,running ...
15:30:06,connexion to MQTT switch : 192.168.1.111,OK
15:30:06,Current switch : eMylo1,running ...
15:30:11,connexion to Meross cloud,running ...
15:30:11,adding data for Prise1 in the database,ok
15:30:11,data for Prise1 successfully added into database,ok
15:30:11,End of execution : 5.746034383773804s,OK
