Time,Action,Status
14:00:05,connexion to MQTT Broker,OK
14:00:05,retrieve all plugs from database,OK
14:00:05,Current switch : 192.168.1.154,running ...
14:00:05,connexion to MQTT switch : 192.168.1.154,OK
14:00:05,Current switch : Prise1,running ...
14:00:05,"Current switch : 192.168.1.128,0",running ...
14:00:06,connexion to shelly switch : 192.168.1.128,OK
14:00:06,data storage for shelly switch,OK
14:00:06,"Current switch : 192.168.1.128,1",running ...
14:00:06,connexion to shelly switch : 192.168.1.128,OK
14:00:06,data storage for shelly switch,OK
14:00:06,Current switch : 192.168.1.111,running ...
14:00:06,connexion to MQTT switch : 192.168.1.111,OK
14:00:06,Current switch : eMylo1,running ...
14:00:11,connexion to Meross cloud,running ...
14:00:11,adding data for Prise1 in the database,ok
14:00:11,data for Prise1 successfully added into database,ok
14:00:11,End of execution : 6.091915845870972s,OK
