Time,Action,Status
13:15:05,connexion to MQTT Broker,OK
13:15:05,retrieve all plugs from database,OK
13:15:05,Current switch : 192.168.1.154,running ...
13:15:05,connexion to MQTT switch : 192.168.1.154,OK
13:15:05,Current switch : Prise1,running ...
13:15:05,"Current switch : 192.168.1.128,0",running ...
13:15:05,connexion to shelly switch : 192.168.1.128,OK
13:15:05,data storage for shelly switch,OK
13:15:05,"Current switch : 192.168.1.128,1",running ...
13:15:05,connexion to shelly switch : 192.168.1.128,OK
13:15:05,data storage for shelly switch,OK
13:15:05,Current switch : 192.168.1.111,running ...
13:15:05,connexion to MQTT switch : 192.168.1.111,OK
13:15:05,Current switch : eMylo1,running ...
13:15:10,connexion to Meross cloud,running ...
13:15:10,adding data for Prise1 in the database,ok
13:15:10,data for Prise1 successfully added into database,ok
13:15:10,End of execution : 4.781038761138916s,OK
