Time,Action,Status
14:45:05,connexion to MQTT Broker,OK
14:45:05,retrieve all plugs from database,OK
14:45:05,Current switch : 192.168.1.154,running ...
14:45:05,connexion to MQTT switch : 192.168.1.154,OK
14:45:05,Current switch : Prise1,running ...
14:45:05,"Current switch : 192.168.1.128,0",running ...
14:45:05,connexion to shelly switch : 192.168.1.128,OK
14:45:05,data storage for shelly switch,OK
14:45:05,"Current switch : 192.168.1.128,1",running ...
14:45:06,connexion to shelly switch : 192.168.1.128,OK
14:45:06,data storage for shelly switch,OK
14:45:06,Current switch : 192.168.1.102,running ...
14:45:06,connexion to MQTT switch : 192.168.1.102,OK
14:45:06,Current switch : eMylo1,running ...
14:45:10,connexion to Meross cloud,running ...
14:45:10,adding data for Prise1 in the database,ok
14:45:10,data for Prise1 successfully added into database,ok
14:45:10,End of execution : 5.009941816329956s,OK
