Time,Action,Status
16:33:55,connexion to MQTT Broker,OK
16:33:55,retrieve all plugs from database,OK
16:33:55,Current switch : 192.168.1.154,running ...
16:33:55,connexion to MQTT switch : 192.168.1.154,OK
16:33:55,Current switch : Prise1,running ...
16:33:55,"Current switch : 192.168.1.128,0",running ...
16:33:56,connexion to shelly switch : 192.168.1.128,OK
16:33:56,data storage for shelly switch,OK
16:33:56,"Current switch : 192.168.1.128,1",running ...
16:33:56,connexion to shelly switch : 192.168.1.128,OK
16:33:56,data storage for shelly switch,OK
16:33:56,Current switch : 192.168.1.107,running ...
16:33:56,connexion to MQTT switch : 192.168.1.107,OK
16:33:56,Current switch : eMylo1,running ...
16:34:01,connexion to Meross cloud,running ...
16:34:01,adding data for Prise1 in the database,ok
16:34:01,data for Prise1 successfully added into database,ok
16:34:01,End of execution : 5.485848665237427s,OK
