Time,Action,Status
11:45:06,connexion to MQTT Broker,OK
11:45:06,retrieve all plugs from database,OK
11:45:06,Current switch : 192.168.1.154,running ...
11:45:06,connexion to MQTT switch : 192.168.1.154,OK
11:45:06,Current switch : Prise1,running ...
11:45:06,"Current switch : 192.168.1.128,0",running ...
11:45:06,connexion to shelly switch : 192.168.1.128,OK
11:45:06,data storage for shelly switch,OK
11:45:06,"Current switch : 192.168.1.128,1",running ...
11:45:07,connexion to shelly switch : 192.168.1.128,OK
11:45:07,data storage for shelly switch,OK
11:45:07,Current switch : 192.168.1.111,running ...
11:45:07,connexion to MQTT switch : 192.168.1.111,OK
11:45:07,Current switch : eMylo1,running ...
11:45:11,connexion to Meross cloud,running ...
11:45:11,adding data for Prise1 in the database,ok
11:45:12,data for Prise1 successfully added into database,ok
11:45:12,End of execution : 5.367480754852295s,OK
