Time,Action,Status
10:45:05,connexion to MQTT Broker,OK
10:45:05,retrieve all plugs from database,OK
10:45:05,Current switch : 192.168.1.154,running ...
10:45:05,connexion to MQTT switch : 192.168.1.154,OK
10:45:05,Current switch : Prise1,running ...
10:45:05,"Current switch : 192.168.1.128,0",running ...
10:45:05,connexion to shelly switch : 192.168.1.128,OK
10:45:05,data storage for shelly switch,OK
10:45:05,"Current switch : 192.168.1.128,1",running ...
10:45:06,connexion to shelly switch : 192.168.1.128,OK
10:45:06,data storage for shelly switch,OK
10:45:06,Current switch : 192.168.1.102,running ...
10:45:06,connexion to MQTT switch : 192.168.1.102,OK
10:45:06,Current switch : eMylo1,running ...
10:45:11,connexion to Meross cloud,running ...
10:45:11,adding data for Prise1 in the database,ok
10:45:11,data for Prise1 successfully added into database,ok
10:45:11,End of execution : 5.798067092895508s,OK
