Time,Action,Status
10:30:05,connexion to MQTT Broker,OK
10:30:05,retrieve all plugs from database,OK
10:30:05,Current switch : 192.168.1.154,running ...
10:30:05,connexion to MQTT switch : 192.168.1.154,OK
10:30:05,Current switch : Prise1,running ...
10:30:05,"Current switch : 192.168.1.128,0",running ...
10:30:08,"connexion to switch : 192.168.1.128,0",error
10:30:08,"Current switch : 192.168.1.128,1",running ...
10:30:12,"connexion to switch : 192.168.1.128,1",error
10:30:12,Current switch : 192.168.1.102,running ...
10:30:12,connexion to MQTT switch : 192.168.1.102,OK
10:30:12,Current switch : eMylo1,running ...
10:30:18,connexion to Meross cloud,running ...
10:30:18,adding data for Prise1 in the database,ok
10:30:18,data for Prise1 successfully added into database,ok
10:30:18,End of execution : 12.845616340637207s,OK
