Time,Action,Status
12:45:11,connexion to MQTT Broker,OK
12:45:11,retrieve all plugs from database,OK
12:45:11,Current switch : 192.168.1.154,running ...
12:45:11,connexion to MQTT switch : 192.168.1.154,OK
12:45:11,Current switch : Prise1,running ...
12:45:11,"Current switch : 192.168.1.128,0",running ...
12:45:30,"connexion to switch : 192.168.1.128,0",error
12:45:30,"Current switch : 192.168.1.128,1",running ...
12:45:33,"connexion to switch : 192.168.1.128,1",error
12:45:33,Current switch : 192.168.1.111,running ...
12:45:33,connexion to MQTT switch : 192.168.1.111,OK
12:45:33,Current switch : eMylo1,running ...
12:45:43,connexion to Meross cloud,error
12:45:43,End of execution : 31.523984670639038s,OK
