Time,Action,Status
14:15:06,connexion to MQTT Broker,OK
14:15:06,retrieve all plugs from database,OK
14:15:06,Current switch : 192.168.1.154,running ...
14:15:06,connexion to MQTT switch : 192.168.1.154,OK
14:15:06,Current switch : Prise1,running ...
14:15:06,"Current switch : 192.168.1.128,0",running ...
14:15:06,connexion to shelly switch : 192.168.1.128,OK
14:15:06,data storage for shelly switch,OK
14:15:06,"Current switch : 192.168.1.128,1",running ...
14:15:06,connexion to shelly switch : 192.168.1.128,OK
14:15:06,data storage for shelly switch,OK
14:15:06,Current switch : 192.168.1.111,running ...
14:15:06,connexion to MQTT switch : 192.168.1.111,OK
14:15:06,Current switch : eMylo1,running ...
14:15:12,connexion to Meross cloud,running ...
14:15:12,adding data for Prise1 in the database,ok
14:15:12,data for Prise1 successfully added into database,ok
14:15:12,End of execution : 5.76027512550354s,OK

